Identifier,Title,OBJECT_ID,OBJECT_PORTFOLIO_ID,Target,TargetService,Coverage,Unique coverage (compared to other set),Status
0006-2928,Biochemical Genetics,9.54925E+11,1.10976E+14,MacEwan EBSCO Electronic Journals Service,getFullTxt,2010-2012,,ACTIVE
0006-2928,Biochemical Genetics,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,,ACTIVE
0006-341X,Biometrics,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1999,,ACTIVE
0006-341X,Biometrics,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2003-2020,,ACTIVE
0006-341X,Biometrics,9.54925E+11,1E+15,EBSCOhost Computers and Applied Sciences Complete,getFullTxt,2003-2020,,ACTIVE
0006-341X,Biometrics,9.54925E+11,1E+15,EBSCOhost Health Policy Reference Center,getFullTxt,2003-2020,,ACTIVE
0006-341X,Biometrics,9.54925E+11,1E+15,EBSCOhost SPORTDiscus with Full Text,getFullTxt,2003-2020,,ACTIVE
0006-341X,Biometrics,9.54925E+11,1.10994E+14,JSTOR Arts and Sciences II,getFullTxt,1947-2015,,ACTIVE
0006-341X,Biometrics,9.54925E+11,2.55E+15,Public Health Database,getFullTxt,1998-2002,,ACTIVE
0006-3568,BioScience,9.54925E+11,4.33E+15,CRKN Oxford University Press Current,getFullTxt,-1996,,ACTIVE
0006-3568,BioScience,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,1992-2020,,ACTIVE
0006-3568,BioScience,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,1992-2020,,ACTIVE
0006-3568,BioScience,9.54925E+11,1.10976E+14,EBSCOhost MasterFILE Premier,getFullTxt,1992-2020,,ACTIVE
0006-3568,BioScience,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1964-2017,,ACTIVE
0006-3568,BioScience,9.54925E+11,4.34E+15,Oxford Journals Archive Collection,getFullTxt,1964-1995,,ACTIVE
0006-3606,Biotropica,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,,ACTIVE
0006-3606,Biotropica,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,2005-2020,,ACTIVE
0006-3606,Biotropica,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1969-2015,,ACTIVE
0006-8047,Boston University Law Review,9.54925E+11,2.56E+15,EBSCOhost Academic Search Complete,getFullTxt,-2010,,ACTIVE
0006-8047,Boston University Law Review,9.54925E+11,3.79E+15,Nexis Uni,getFullTxt,1982-2008,,ACTIVE
0006-8101,The Botanical Review,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,-2008,,ACTIVE
0006-8101,The Botanical Review,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1935-2015,,ACTIVE
0006-8101,The Botanical Review,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,,ACTIVE
0007-070X,British food journal,9.54921E+11,2.55E+15,ABI/INFORM Collection,getFullTxt,1992-2020,,ACTIVE
0007-070X,British food journal,9.54921E+11,1E+15,Emerald Backfiles,getFullTxt,1899-1993,,ACTIVE
0007-070X,British food journal,9.54921E+11,1E+15,Emerald Management 120,getFullTxt,-1994,,ACTIVE
0007-070X,British food journal,9.54921E+11,2.55E+15,Public Health Database,getFullTxt,1992-2020,,ACTIVE
0007-6503,Business and Society,9.54921E+11,2.55E+15,ABI/INFORM Collection,getFullTxt,"1988-1990,1992-2007",,ACTIVE
0007-6503,Business and Society,9.54921E+11,2.55E+15,ABI/INFORM Collection,getFullTxt,1986-1987,,ACTIVE
0007-6503,Business and Society,9.54921E+11,2.55E+15,ABI/INFORM Collection,getFullTxt,1960-1985,,ACTIVE
0007-6503,Business and Society,9.54921E+11,1.11032E+14,Business Insights: Essentials,getFullTxt,1993-1998,,ACTIVE
0007-6503,Business and Society,9.54921E+11,2.56E+15,SAGE Complete Deep Backfile Purchase 2015,getFullTxt,1960-1998,,ACTIVE
0007-6503,Business and Society,9.54921E+11,1E+15,SAGE Management & Org Studies FTC,getFullTxt,-1960,,ACTIVE
0007-6503,Business and Society,9.54921E+11,2.56E+15,Sage CRKN Collection,getFullTxt,-1999,,ACTIVE
0008-347X,The Canadian Entomologist,9.54925E+11,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-2003,,ACTIVE
0008-347X,The Canadian Entomologist,9.54925E+11,2.55E+15,Canadian Business & Current Affairs Database,getFullTxt,"2003-2009,2016-2020",,ACTIVE
0008-347X,The Canadian Entomologist,9.54925E+11,4.92E+15,Canadiana Online - Periodicals,getFullTxt,1868-1920,,ACTIVE
0008-3658,Canadian Geographer,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,,ACTIVE
0008-3658,Canadian Geographer,9.54925E+11,2.55E+15,Canadian Business & Current Affairs Database,getFullTxt,1995-2006,,ACTIVE
0008-3658,Canadian Geographer,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2003-2020,,ACTIVE
0008-3658,Canadian Geographer,9.54925E+11,1E+15,EBSCOhost Canadian Reference Centre,getFullTxt,2003-2020,,ACTIVE
0008-3658,Canadian Geographer,9.54925E+11,1E+15,Gale In Context: World History,getFullTxt,2001-2007,,ACTIVE
0008-3658,Canadian Geographer,9.54925E+11,1.11088E+14,Gale OneFile: CPI.Q,getFullTxt,2001-2007,,ACTIVE
0008-4026,Canadian Journal of Botany,9.54925E+11,1E+15,Canadian Science Publishing (NRC Research Press) Back Issues,getFullTxt,1951-1995,,ACTIVE
0008-4026,Canadian Journal of Botany,9.54925E+11,1.10998E+14,Canadian Science Publishing (NRC Research Press) Current,getFullTxt,1996-2007,,ACTIVE
0008-4026,Canadian Journal of Botany,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2001-2007,,ACTIVE
0008-4026,Canadian Journal of Botany,9.54925E+11,1.11062E+14,EBSCOhost Canadian Reference Centre,getFullTxt,2001-2007,,ACTIVE
0008-4026,Canadian Journal of Botany,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,2001-2007,,ACTIVE
0008-4026,Canadian Journal of Botany,9.54925E+11,1E+15,Gale OneFile: CPI.Q,getFullTxt,2006-2007,,ACTIVE
0008-4026,Canadian Journal of Botany,9.54925E+11,1.10976E+14,MacEwan EBSCO Electronic Journals Service,getFullTxt,-1998,,ACTIVE
0008-4220,Canadian Journal of Plant Science,9.54925E+11,1E+15,Canadian Science Publishing (NRC Research Press) Current,getFullTxt,-1957,,ACTIVE
0008-4220,Canadian Journal of Plant Science,9.54925E+11,1.11007E+14,MacEwan EBSCO Electronic Journals Service,getFullTxt,-1997,,ACTIVE
0008-4301,Canadian Journal of Zoology,9.54925E+11,2.55E+15,Canadian Business & Current Affairs Database,getFullTxt,1998-2007,,ACTIVE
0008-4301,Canadian Journal of Zoology,9.54925E+11,1E+15,Canadian Science Publishing (NRC Research Press) Back Issues,getFullTxt,1951-1995,,ACTIVE
0008-4301,Canadian Journal of Zoology,9.54925E+11,1.10998E+14,Canadian Science Publishing (NRC Research Press) Current,getFullTxt,-1996,,ACTIVE
0008-4301,Canadian Journal of Zoology,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2001,,ACTIVE
0008-4301,Canadian Journal of Zoology,9.54925E+11,1.11062E+14,EBSCOhost Canadian Reference Centre,getFullTxt,-2001,,ACTIVE
0008-4301,Canadian Journal of Zoology,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,-2001,,ACTIVE
0008-4301,Canadian Journal of Zoology,9.54925E+11,5.47E+15,Gale OneFile: CPI.Q,getFullTxt,2006-2020,,ACTIVE
0008-4301,Canadian Journal of Zoology,9.54925E+11,1.10976E+14,MacEwan EBSCO Electronic Journals Service,getFullTxt,-1998,,ACTIVE
0008-7475,Castanea,9.54928E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2006,,ACTIVE
0008-7475,Castanea,9.54928E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,-2006,,ACTIVE
0008-7475,Castanea,9.54928E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1937-2017,,ACTIVE
0010-5422,The Condor,9.54925E+11,4.97E+15,CRKN Oxford University Press Current,getFullTxt,-1996,,ACTIVE
0010-5422,The Condor,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1900-2015,,ACTIVE
0011-216X,Crustaceana,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,1999-2020,,ACTIVE
0011-216X,Crustaceana,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,1999-2020,,ACTIVE
0011-216X,Crustaceana,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1960-2017,,ACTIVE
0011-3204,Current Anthropology,9.54925E+11,1E+15,EBSCOhost Literary Reference Center,getFullTxt,1990-2020,,ACTIVE
0011-3204,Current Anthropology,9.54925E+11,1E+15,EBSCOhost SocINDEX with Full Text,getFullTxt,1990-2020,,ACTIVE
0011-3204,Current Anthropology,9.54925E+11,1.10994E+14,JSTOR Arts and Sciences I,getFullTxt,1959-2015,,ACTIVE
